#dt, x, y, z
297586870, 987, 1033, 190
297619874, 898, 911, 192
297652870, 862, 901, 137
297685874, 863, 984, 44
297718870, 821, 1022, 6
297751879, 802, 1009, 16
297784870, 728, 890, 96
297817874, 642, 822, 137
297850870, 593, 830, 110
297883874, 489, 799, 40
297916870, 440, 716, 9
297949874, 357, 674, 1
297982870, 321, 582, 3
298015874, 323, 547, -3
298048866, 362, 569, -6
298081875, 413, 720, 23
298114870, 448, 805, 80
298147874, 549, 947, 121
298180870, 743, 1056, 177
298213874, 840, 1102, 179
298246870, 1043, 1352, 43
298279874, 1188, 1489, 135
298312870, 1225, 1375, 224
298345874, 1239, 942, 354
298378870, 1114, 594, 292
298411879, 1012, 555, 178
298444870, 764, 691, -55
298477870, 648, 714, -130
298510866, 535, 732, -132
298543870, 286, 696, -133
298576866, 152, 854, -130
298609870, 46, 943, -94
298642866, 258, 899, -1
298675870, 407, 852, 16
298708870, 563, 810, -25
298741875, 611, 838, -82
298774866, 620, 810, -104
298807870, 649, 683, -119
298840866, 666, 653, -115
298873870, 679, 694, -109
298906866, 761, 694, -141
298939870, 823, 720, -82
298972866, 849, 717, -48
299005870, 883, 646, -15
299038866, 994, 803, -59
299071875, 1025, 951, -42
299104866, 1013, 1051, 41
299137874, 965, 879, -7
299170866, 1021, 897, -126
299203870, 1109, 1100, -240
299236866, 1109, 1164, -168
299269870, 1027, 1143, -107
299302866, 907, 1043, -32
299335870, 819, 994, -44
299368866, 627, 842, -54
299401875, 457, 646, -69
299434866, 381, 567, -69
299467870, 261, 465, -57
299500866, 218, 446, -30
299533870, 217, 442, -18
299566866, 263, 501, -5
299599870, 347, 652, 12
299632870, 399, 743, 21
299665874, 605, 1054, 92
299698870, 1100, 1403, 205
299731879, 1191, 1442, 261
299764870, 1293, 1350, 366
299797874, 1290, 1101, 455
299830870, 1159, 947, 449
299863874, 1065, 838, 365
299896870, 1018, 830, 237
299929874, 861, 736, 171
299962870, 747, 649, 98
299995874, 732, 645, 122
300028870, 710, 592, 119
300061879, 690, 579, 86
300094870, 663, 616, 66
300127874, 582, 704, 42
300160870, 566, 727, -31
300193870, 564, 683, -85
300226866, 641, 704, -152
300259870, 752, 717, -111
300292866, 815, 699, -75
300325870, 924, 607, -40
300358866, 940, 793, -99
300391875, 997, 1021, -88
300424866, 918, 1189, -5
300457870, 842, 850, 33
300490870, 766, 732, -13
300523870, 815, 916, -112
300556866, 825, 1066, -105
300589870, 802, 1164, -55
300622866, 809, 1067, 84
300655874, 821, 1017, 118
300688870, 722, 881, 124
300721879, 590, 792, 68
300754870, 530, 778, 45
300787874, 393, 719, 20
300820870, 299, 685, 3
300853874, 275, 680, -10
300886866, 263, 676, -49
300919870, 349, 708, -94
300952866, 417, 789, -99
300985870, 518, 906, -84
301018866, 627, 991, -23
301051875, 848, 1000, 33
301084870, 1051, 1195, 113
301117874, 1181, 1444, 171
301150870, 1261, 1339, 204
301183874, 1174, 998, 220
301216870, 1099, 823, 122
301249874, 944, 560, 62
301282870, 864, 472, 0
301315874, 856, 512, 28
301348870, 823, 609, 77
301381879, 707, 649, 109
301414870, 662, 702, 130
301447874, 608, 699, 71
301480870, 619, 642, -81
301513870, 631, 671, -130
301546866, 575, 731, -145
301579870, 528, 789, -174
301612866, 518, 812, -191
301645870, 548, 814, -195
301678866, 570, 800, -127
301711875, 595, 811, -107
301744866, 585, 888, -92
301777870, 578, 926, -38
301810866, 550, 914, -13
301843870, 542, 924, -10
301876866, 533, 942, 2
301909874, 552, 825, 20
301942870, 641, 619, 6
301975874, 729, 704, -10
302008866, 880, 973, 0
302041875, 1002, 908, 64
302074870, 1098, 812, 98
302107874, 1265, 689, 156
302140870, 1117, 748, 91
302173874, 1004, 867, 20
302206870, 826, 1035, -80
302239870, 564, 988, -102
302272866, 449, 929, -78
302305870, 330, 734, -43
302338866, 292, 604, -100
302371875, 190, 606, -139
302404866, 162, 616, -159
302437870, 184, 661, -93
302470866, 331, 812, -80
302503870, 499, 1085, -60
302536866, 668, 1270, -99
302569870, 959, 1475, 22
302602870, 1129, 1381, 153
302635874, 1124, 1226, 188
302668870, 1035, 854, 39
302701879, 1008, 762, -30
302734866, 993, 716, 15
302767874, 871, 635, 104
302800870, 685, 629, 78
302833874, 618, 641, 53
302866870, 541, 709, -14
302899870, 508, 709, -84
302932866, 488, 719, -91
302965870, 536, 711, -47
302998866, 578, 725, -11
303031875, 673, 712, -11
303064866, 739, 710, -26
303097870, 743, 749, 6
303130870, 746, 775, 20
303163874, 709, 758, 38
303196870, 673, 755, 60
303229874, 718, 787, 144
303262870, 745, 976, 182
303295874, 753, 1106, 180
303328870, 785, 1226, 153
303361879, 774, 1022, 168
303394870, 772, 886, 157
303427874, 926, 818, 122
303460870, 1029, 887, 142
303493874, 1036, 949, 191
303526870, 983, 958, 255
303559874, 927, 932, 260
303592870, 811, 952, 254
303625874, 681, 922, 170
303658870, 511, 883, 95
303691879, 220, 853, 61
303724870, 180, 776, 23
303757874, 239, 750, -17
303790866, 328, 725, -64
303823870, 382, 783, -197
303856866, 436, 827, -239
303889870, 634, 900, -285
303922866, 798, 940, -323
303955870, 883, 1020, -368
303988866, 1042, 1197, -280
304021875, 1154, 1281, -161
304054866, 1145, 1103, -190
304087870, 1040, 692, -365
304120866, 974, 590, -363
304153870, 954, 569, -329
304186866, 874, 587, -225
304219870, 819, 649, -167
304252866, 752, 655, -146
304285870, 629, 745, -82
304318866, 590, 786, -58
304351875, 574, 799, -64
304384866, 567, 788, -61
304417870, 583, 778, -57
304450866, 643, 772, -51
304483870, 702, 787, -22
304516866, 743, 797, -11
304549870, 825, 801, 12
304582870, 826, 858, 127
304615874, 829, 848, 211
304648870, 832, 796, 382
304681879, 778, 843, 488
304714870, 758, 834, 479
304747874, 745, 891, 381
304780870, 797, 1277, 304
304813874, 837, 1372, 286
304846870, 780, 1300, 7
304879874, 803, 1102, -189
304912866, 857, 1033, -188
304945870, 825, 876, -90
304978866, 816, 851, -20
305011875, 778, 866, 5
305044870, 732, 848, 47
305077874, 707, 840, 69
305110870, 621, 799, 89
305143874, 476, 752, 32
305176870, 423, 735, 8
305209874, 383, 668, -30
305242866, 363, 571, -60
305275870, 356, 534, -57
305308866, 369, 564, -7
305341875, 453, 700, 28
305374870, 544, 835, 19
305407874, 661, 1016, 44
305440870, 756, 1104, -8
305473870, 923, 1152, -16
305506866, 1002, 1073, -57
305539870, 1016, 956, -116
305572866, 1016, 836, -91
305605870, 976, 828, -12
305638866, 953, 813, -42
305671875, 831, 668, -108
305704866, 704, 678, -195
305737870, 690, 736, -196
305770866, 717, 732, -216
305803870, 708, 687, -207
305836866, 673, 671, -202
305869870, 636, 698, -187
305902866, 613, 702, -142
305935870, 605, 707, -103
305968866, 623, 780, -36
306001875, 655, 779, 9
306034870, 665, 748, 26
306067874, 729, 803, -7
306100866, 823, 1163, 9
306133874, 882, 1182, 77
306166870, 808, 849, 129
306199874, 803, 698, 24
306232870, 855, 759, -43
306265870, 841, 1043, -61
306298866, 787, 1090, 38
306331879, 726, 978, 82
306364870, 749, 885, 135
306397874, 745, 880, 133
306430870, 675, 897, 82
306463874, 569, 880, 52
306496870, 519, 848, 50
306529874, 447, 768, 35
306562870, 402, 702, 20
306595874, 386, 700, 10
306628870, 353, 707, -16
306661875, 347, 733, -35
306694866, 426, 768, -43
306727870, 610, 982, -96
306760866, 670, 1195, -76
306793870, 884, 1231, -83
306826866, 1129, 1088, -44
306859870, 1153, 918, -18
306892866, 1089, 614, -19
306925870, 1057, 559, 3
306958870, 1035, 616, 3
306991879, 991, 750, 23
307024870, 832, 718, 4
307057874, 737, 711, -31
307090866, 674, 684, -75
307123870, 611, 674, -95
307156866, 591, 673, -110
307189870, 571, 633, -130
307222866, 625, 626, -142
307255870, 667, 665, -145
307288866, 694, 740, -138
307321875, 693, 750, -93
307354866, 707, 715, -65
307387870, 768, 691, -37
307420866, 815, 895, -23
307453870, 890, 1025, -7
307486870, 876, 1152, 39
307519870, 840, 1060, 120
307552874, 832, 848, 110
307585870, 825, 882, 37
307618874, 803, 960, 9
307651875, 713, 941, 4
307684874, 695, 830, 47
307717870, 727, 788, 79
307750874, 696, 776, 100
307783870, 622, 813, 79
307816874, 580, 828, 70
307849870, 482, 802, 62
307882874, 404, 757, 66
307915870, 374, 750, 50
307948874, 321, 794, -11
307981874, 311, 819, -63
308014870, 363, 824, -104
308047866, 506, 916, -161
308080870, 593, 1034, -223
308113866, 843, 1329, -234
308146870, 1098, 1324, -177
308179866, 1185, 1171, -113
308212870, 1201, 686, -143
308245866, 1119, 449, -209
308278870, 1087, 458, -194
308311874, 1006, 608, -132
308344870, 862, 745, -91
308377866, 777, 767, -84
308410870, 616, 758, -76
308443866, 547, 734, -71
308476870, 549, 738, -62
308509866, 572, 753, -45
308542870, 618, 754, -42
308575866, 645, 762, -33
308608870, 699, 787, -4
308641874, 715, 771, 16
308674874, 747, 776, 23
308707870, 748, 814, 54
308740874, 733, 815, 100
308773870, 778, 852, 94
308806874, 834, 951, 152
308839870, 830, 948, 179
308872874, 820, 938, 145
308905870, 796, 891, 61
308938874, 786, 874, 12
308971875, 831, 892, -51
309004870, 869, 889, -35
309037866, 870, 846, 10
309070874, 853, 751, 101
309103870, 806, 769, 163
309136874, 765, 818, 177
309169870, 643, 892, 172
309202874, 570, 865, 142
309235870, 452, 827, 113
309268874, 404, 773, 63
309301875, 397, 747, 10
309334874, 393, 751, -7
309367866, 403, 784, -31
309400870, 455, 810, -98
309433866, 592, 927, -191
309466870, 696, 1384, -119
309499866, 673, 1447, -77
309532870, 812, 989, -341
309565866, 897, 795, -455
309598870, 870, 852, -402
309631874, 818, 815, -277
309664870, 850, 832, -67
309697866, 796, 848, -13
309730870, 645, 829, -80
309763866, 571, 782, -208
309796870, 557, 763, -227
309829866, 553, 813, -197
309862870, 565, 746, -151
309895866, 617, 700, -124
309928870, 682, 709, -63
309961874, 700, 730, -17
309994870, 711, 771, -1
310027866, 704, 727, 41
310060874, 700, 705, 30
310093870, 784, 947, -9
310126870, 841, 1354, 20
310159870, 817, 1338, 81
310192874, 808, 995, 156
310225870, 930, 965, 118
310258874, 923, 1030, 82
310291875, 804, 1006, 46
310324874, 752, 874, 33
310357870, 745, 831, 37
310390874, 732, 827, 64
310423870, 678, 897, 87
310456874, 620, 915, 98
310489870, 484, 876, 112
310522874, 434, 813, 82
310555870, 398, 795, 60
310588874, 373, 778, 41
310621875, 351, 762, 60
310654874, 398, 697, 44
310687870, 576, 812, -84
310720870, 621, 1036, -127
310753866, 772, 1281, -204
310786870, 883, 807, -342
310819866, 960, 716, -307
310852870, 1080, 827, -141
310885866, 1057, 830, -58
